description,category,location,severity,priority,resolutionTimeHours
Projector not working in Lab,Infrastructure,Campus Area,High,High,5
Fan not working in Campus Area,Infrastructure,Lab,Low,Low,30
Damaged window glass in Campus Area,Infrastructure,Other,High,High,9
Ceiling leakage in Classroom,Infrastructure,Campus Area,Medium,Medium,9
Broken desk in Other,Infrastructure,Classroom,Medium,Medium,23
Ceiling leakage in Washrooms,Infrastructure,Lab,Low,Low,44
Projector not working in Other,Infrastructure,Lab,Medium,Medium,13
Fan not working in Lab,Infrastructure,Washrooms,Low,Low,26
Projector not working in Other,Infrastructure,Lab,Medium,Medium,9
Fan not working in Other,Infrastructure,Campus Area,Medium,Medium,12
Ceiling leakage in Other,Infrastructure,Washrooms,Low,Low,24
Projector not working in Other,Infrastructure,Other,High,High,2
Broken desk in Other,Infrastructure,Other,High,High,5
Damaged window glass in Campus Area,Infrastructure,Campus Area,Medium,Medium,17
Ceiling leakage in Lab,Infrastructure,Lab,High,High,3
Broken desk in Washrooms,Infrastructure,Classroom,Medium,Medium,19
Projector not working in Washrooms,Infrastructure,Campus Area,High,High,2
Fan not working in Lab,Infrastructure,Other,Medium,Medium,17
Fan not working in Lab,Infrastructure,Other,High,High,11
Ceiling leakage in Lab,Infrastructure,Other,Low,Low,28
Broken desk in Campus Area,Infrastructure,Campus Area,High,High,9
Fan not working in Lab,Infrastructure,Classroom,Medium,Medium,13
Fan not working in Other,Infrastructure,Classroom,Medium,Medium,13
Ceiling leakage in Washrooms,Infrastructure,Washrooms,High,High,9
Broken desk in Lab,Infrastructure,Washrooms,High,High,7
Broken desk in Campus Area,Infrastructure,Other,Medium,Medium,20
Broken desk in Lab,Infrastructure,Lab,High,High,9
Projector not working in Washrooms,Infrastructure,Classroom,Low,Low,46
Projector not working in Washrooms,Infrastructure,Campus Area,Medium,Medium,10
Ceiling leakage in Other,Infrastructure,Other,Medium,Medium,11
Projector not working in Lab,Infrastructure,Lab,High,High,9
Damaged window glass in Classroom,Infrastructure,Classroom,Low,Low,44
Fan not working in Lab,Infrastructure,Classroom,Low,Low,39
Broken desk in Washrooms,Infrastructure,Other,Medium,Medium,13
Damaged window glass in Campus Area,Infrastructure,Other,Medium,Medium,13
Fan not working in Other,Infrastructure,Other,Low,Low,46
Projector not working in Lab,Infrastructure,Washrooms,High,High,5
Broken desk in Washrooms,Infrastructure,Other,Low,Low,40
Ceiling leakage in Campus Area,Infrastructure,Lab,Low,Low,34
Projector not working in Other,Infrastructure,Lab,Low,Low,32
Broken desk in Other,Infrastructure,Classroom,High,High,4
Damaged window glass in Lab,Infrastructure,Campus Area,Low,Low,27
Broken desk in Other,Infrastructure,Washrooms,Medium,Medium,18
Ceiling leakage in Classroom,Infrastructure,Lab,Medium,Medium,22
Ceiling leakage in Washrooms,Infrastructure,Other,Medium,Medium,13
Fan not working in Classroom,Infrastructure,Washrooms,Medium,Medium,23
Damaged window glass in Lab,Infrastructure,Classroom,High,High,11
Fan not working in Washrooms,Infrastructure,Other,Low,Low,26
Projector not working in Lab,Infrastructure,Classroom,Medium,Medium,8
Ceiling leakage in Washrooms,Infrastructure,Lab,High,High,5
Water spilled in Classroom,Cleanliness & Hygiene,Other,Low,Low,41
Dusty classroom floor in Lab,Cleanliness & Hygiene,Washrooms,Low,Low,41
Washroom not cleaned in Other,Cleanliness & Hygiene,Classroom,High,High,12
Garbage accumulated in Campus Area,Cleanliness & Hygiene,Classroom,Medium,Medium,14
Water spilled in Other,Cleanliness & Hygiene,Other,Low,Low,47
Washroom not cleaned in Lab,Cleanliness & Hygiene,Lab,High,High,3
Dusty classroom floor in Classroom,Cleanliness & Hygiene,Lab,Medium,Medium,22
Garbage accumulated in Washrooms,Cleanliness & Hygiene,Classroom,Medium,Medium,17
Washroom not cleaned in Washrooms,Cleanliness & Hygiene,Campus Area,Medium,Medium,19
Water spilled in Classroom,Cleanliness & Hygiene,Classroom,Low,Low,34
Garbage accumulated in Other,Cleanliness & Hygiene,Campus Area,Medium,Medium,17
Washroom not cleaned in Other,Cleanliness & Hygiene,Washrooms,Medium,Medium,23
Dusty classroom floor in Lab,Cleanliness & Hygiene,Classroom,Medium,Medium,24
Garbage accumulated in Classroom,Cleanliness & Hygiene,Campus Area,Low,Low,34
Dusty classroom floor in Other,Cleanliness & Hygiene,Classroom,Medium,Medium,8
Washroom not cleaned in Classroom,Cleanliness & Hygiene,Other,Medium,Medium,20
Water spilled in Classroom,Cleanliness & Hygiene,Classroom,Low,Low,41
Garbage accumulated in Lab,Cleanliness & Hygiene,Lab,High,High,4
Washroom not cleaned in Lab,Cleanliness & Hygiene,Classroom,High,High,9
Garbage accumulated in Other,Cleanliness & Hygiene,Campus Area,Medium,Medium,24
Washroom not cleaned in Campus Area,Cleanliness & Hygiene,Lab,Low,Low,25
Dusty classroom floor in Washrooms,Cleanliness & Hygiene,Other,Medium,Medium,9
Washroom not cleaned in Washrooms,Cleanliness & Hygiene,Classroom,Low,Low,30
Washroom not cleaned in Classroom,Cleanliness & Hygiene,Other,High,High,12
Garbage accumulated in Campus Area,Cleanliness & Hygiene,Other,Medium,Medium,21
Dusty classroom floor in Campus Area,Cleanliness & Hygiene,Lab,Medium,Medium,24
Washroom not cleaned in Campus Area,Cleanliness & Hygiene,Classroom,High,High,10
Washroom not cleaned in Washrooms,Cleanliness & Hygiene,Campus Area,High,High,7
Water spilled in Lab,Cleanliness & Hygiene,Classroom,Low,Low,41
Garbage accumulated in Classroom,Cleanliness & Hygiene,Lab,Medium,Medium,15
Water spilled in Other,Cleanliness & Hygiene,Campus Area,Medium,Medium,19
Water spilled in Other,Cleanliness & Hygiene,Washrooms,High,High,9
Dusty classroom floor in Other,Cleanliness & Hygiene,Campus Area,High,High,3
Garbage accumulated in Campus Area,Cleanliness & Hygiene,Classroom,Medium,Medium,15
Water spilled in Lab,Cleanliness & Hygiene,Other,Low,Low,39
